Date,Label,OneMonthBefore_UnRevised,TwoMonthBefore_UnRevised,TwoMonthBefore_Revised,ThreeMonthBefore_Revised
4/1/2004,288,308,21,44,161
5/1/2004,248,288,308,332,44
6/1/2004,112,248,288,249,332
7/1/2004,32,112,248,307,249
8/1/2004,144,32,112,74,307
9/1/2004,96,144,32,32,74
10/1/2004,337,96,144,132,32
11/1/2004,112,337,96,162,132
12/1/2004,157,112,337,346,162
1/1/2005,146,157,112,65,346
2/1/2005,262,146,157,129,65
3/1/2005,110,262,146,134,129
4/1/2005,274,110,262,239,134
5/1/2005,78,274,110,134,239
6/1/2005,146,78,274,363,134
7/1/2005,207,146,78,175,363
8/1/2005,169,207,146,245,175
9/1/2005,-35,169,207,373,245
10/1/2005,56,-35,169,196,373
11/1/2005,215,56,-35,67,196
12/1/2005,108,215,56,84,67
1/1/2006,193,108,215,337,84
2/1/2006,243,193,108,159,337
3/1/2006,211,243,193,277,159
4/1/2006,138,211,243,315,277
5/1/2006,75,138,211,280,315
6/1/2006,121,75,138,182,280
7/1/2006,113,121,75,23,182
8/1/2006,128,113,121,77,23
9/1/2006,51,128,113,207,77
10/1/2006,92,51,128,184,207
11/1/2006,132,92,51,157,184
12/1/2006,167,132,92,2,157
1/1/2007,111,167,132,210,2
2/1/2007,97,111,167,171,210
3/1/2007,180,97,111,238,171
4/1/2007,88,180,97,88,238
5/1/2007,157,88,180,188,88
6/1/2007,132,157,88,78,188
7/1/2007,92,132,157,144,78
8/1/2007,-4,92,132,71,144
9/1/2007,110,-4,92,-33,71
10/1/2007,166,110,-4,-16,-33
11/1/2007,94,166,110,85,-16
12/1/2007,18,94,166,82,85
1/1/2008,-17,18,94,118,82
2/1/2008,-63,-17,18,97,118
3/1/2008,-80,-63,-17,15,97
4/1/2008,-20,-80,-63,-86,15
5/1/2008,-49,-20,-80,-80,-86
6/1/2008,-62,-49,-20,-214,-80
7/1/2008,-51,-62,-49,-182,-214
8/1/2008,-84,-51,-62,-172,-182
9/1/2008,-159,-84,-51,-210,-172
10/1/2008,-240,-159,-84,-259,-210
11/1/2008,-533,-240,-159,-452,-259
12/1/2008,-524,-533,-240,-474,-452
1/1/2009,-598,-524,-533,-765,-474
2/1/2009,-651,-598,-524,-697,-765
3/1/2009,-663,-651,-598,-798,-697
4/1/2009,-539,-663,-651,-701,-798
5/1/2009,-345,-539,-663,-826,-701
6/1/2009,-467,-345,-539,-684,-826
7/1/2009,-247,-467,-345,-354,-684
8/1/2009,-216,-247,-467,-467,-354
9/1/2009,-263,-216,-247,-327,-467
10/1/2009,-190,-263,-216,-216,-327
11/1/2009,-11,-190,-263,-227,-216
12/1/2009,-85,-11,-190,-198,-227
1/1/2010,-20,-85,-11,-6,-198
2/1/2010,-36,-20,-85,-283,-6
3/1/2010,162,-36,-20,18,-283
4/1/2010,290,162,-36,-50,18
5/1/2010,431,290,162,156,-50
6/1/2010,-125,431,290,251,156
7/1/2010,-131,-125,431,516,251
8/1/2010,-54,-131,-125,-122,516
9/1/2010,-95,-54,-131,-61,-122
10/1/2010,151,-95,-54,-42,-61
11/1/2010,39,151,-95,-57,-42
12/1/2010,103,39,151,241,-57
1/1/2011,36,103,39,137,241
2/1/2011,192,36,103,71,137
3/1/2011,216,192,36,70,71
4/1/2011,244,216,192,168,70
5/1/2011,54,244,216,212,168
6/1/2011,18,54,244,322,212
7/1/2011,117,18,54,102,322
8/1/2011,0,117,18,217,102
9/1/2011,103,0,117,106,217
10/1/2011,80,103,0,122,106
11/1/2011,120,80,103,221,122
12/1/2011,200,120,80,183,221
1/1/2012,243,200,120,164,183
2/1/2012,227,243,200,196,164
3/1/2012,120,227,243,360,196
4/1/2012,115,120,227,226,360
5/1/2012,69,115,120,243,226
6/1/2012,80,69,115,96,243
7/1/2012,163,80,69,110,96
8/1/2012,96,163,80,88,110
9/1/2012,114,96,163,160,88
10/1/2012,171,114,96,150,160
11/1/2012,146,171,114,161,150
12/1/2012,155,146,171,225,161
1/1/2013,157,155,146,203,225
2/1/2013,236,157,155,214,203
3/1/2013,88,236,157,197,214
4/1/2013,165,88,236,280,197
5/1/2013,175,165,88,141,280
6/1/2013,195,175,165,203,141
7/1/2013,162,195,175,199,203
8/1/2013,169,162,195,201,199
9/1/2013,148,169,162,149,201
10/1/2013,204,148,169,202,149
11/1/2013,203,204,148,164,202
12/1/2013,74,203,204,237,164
1/1/2014,113,74,203,274,237
2/1/2014,175,113,74,84,274
3/1/2014,192,175,113,144,84
4/1/2014,288,192,175,222,144
5/1/2014,217,288,192,203,222
6/1/2014,288,217,288,304,203
7/1/2014,209,288,217,229,304
8/1/2014,142,209,288,267,229
9/1/2014,248,142,209,243,267
10/1/2014,214,248,142,203,243
11/1/2014,321,214,248,271,203
12/1/2014,1000,321,214,243,271
