Date,Label,OneMonthBefore_UnRevised,TwoMonthBefore_UnRevised,OneMonthBefore_Revised,TwoMonthBefore_Revised
3/1/2004,308,21,112,44,161
4/1/2004,288,308,21,332,44
5/1/2004,248,288,308,249,332
6/1/2004,112,248,288,307,249
7/1/2004,32,112,248,74,307
8/1/2004,144,32,112,32,74
9/1/2004,96,144,32,132,32
10/1/2004,337,96,144,162,132
11/1/2004,112,337,96,346,162
12/1/2004,157,112,337,65,346
1/1/2005,146,157,112,129,65
2/1/2005,262,146,157,134,129
3/1/2005,110,262,146,239,134
4/1/2005,274,110,262,134,239
5/1/2005,78,274,110,363,134
6/1/2005,146,78,274,175,363
7/1/2005,207,146,78,245,175
8/1/2005,169,207,146,373,245
9/1/2005,-35,169,207,196,373
10/1/2005,56,-35,169,67,196
11/1/2005,215,56,-35,84,67
12/1/2005,108,215,56,337,84
1/1/2006,193,108,215,159,337
2/1/2006,243,193,108,277,159
3/1/2006,211,243,193,315,277
4/1/2006,138,211,243,280,315
5/1/2006,75,138,211,182,280
6/1/2006,121,75,138,23,182
7/1/2006,113,121,75,77,23
8/1/2006,128,113,121,207,77
9/1/2006,51,128,113,184,207
10/1/2006,92,51,128,157,184
11/1/2006,132,92,51,2,157
12/1/2006,167,132,92,210,2
1/1/2007,111,167,132,171,210
2/1/2007,97,111,167,238,171
3/1/2007,180,97,111,88,238
4/1/2007,88,180,97,188,88
5/1/2007,157,88,180,78,188
6/1/2007,132,157,88,144,78
7/1/2007,92,132,157,71,144
8/1/2007,-4,92,132,-33,71
9/1/2007,110,-4,92,-16,-33
10/1/2007,166,110,-4,85,-16
11/1/2007,94,166,110,82,85
12/1/2007,18,94,166,118,82
1/1/2008,-17,18,94,97,118
2/1/2008,-63,-17,18,15,97
3/1/2008,-80,-63,-17,-86,15
4/1/2008,-20,-80,-63,-80,-86
5/1/2008,-49,-20,-80,-214,-80
6/1/2008,-62,-49,-20,-182,-214
7/1/2008,-51,-62,-49,-172,-182
8/1/2008,-84,-51,-62,-210,-172
9/1/2008,-159,-84,-51,-259,-210
10/1/2008,-240,-159,-84,-452,-259
11/1/2008,-533,-240,-159,-474,-452
12/1/2008,-524,-533,-240,-765,-474
1/1/2009,-598,-524,-533,-697,-765
2/1/2009,-651,-598,-524,-798,-697
3/1/2009,-663,-651,-598,-701,-798
4/1/2009,-539,-663,-651,-826,-701
5/1/2009,-345,-539,-663,-684,-826
6/1/2009,-467,-345,-539,-354,-684
7/1/2009,-247,-467,-345,-467,-354
8/1/2009,-216,-247,-467,-327,-467
9/1/2009,-263,-216,-247,-216,-327
10/1/2009,-190,-263,-216,-227,-216
11/1/2009,-11,-190,-263,-198,-227
12/1/2009,-85,-11,-190,-6,-198
1/1/2010,-20,-85,-11,-283,-6
2/1/2010,-36,-20,-85,18,-283
3/1/2010,162,-36,-20,-50,18
4/1/2010,290,162,-36,156,-50
5/1/2010,431,290,162,251,156
6/1/2010,-125,431,290,516,251
7/1/2010,-131,-125,431,-122,516
8/1/2010,-54,-131,-125,-61,-122
9/1/2010,-95,-54,-131,-42,-61
10/1/2010,151,-95,-54,-57,-42
11/1/2010,39,151,-95,241,-57
12/1/2010,103,39,151,137,241
1/1/2011,36,103,39,71,137
2/1/2011,192,36,103,70,71
3/1/2011,216,192,36,168,70
4/1/2011,244,216,192,212,168
5/1/2011,54,244,216,322,212
6/1/2011,18,54,244,102,322
7/1/2011,117,18,54,217,102
8/1/2011,0,117,18,106,217
9/1/2011,103,0,117,122,106
10/1/2011,80,103,0,221,122
11/1/2011,120,80,103,183,221
12/1/2011,200,120,80,164,183
1/1/2012,243,200,120,196,164
2/1/2012,227,243,200,360,196
3/1/2012,120,227,243,226,360
4/1/2012,115,120,227,243,226
5/1/2012,69,115,120,96,243
6/1/2012,80,69,115,110,96
7/1/2012,163,80,69,88,110
8/1/2012,96,163,80,160,88
9/1/2012,114,96,163,150,160
10/1/2012,171,114,96,161,150
11/1/2012,146,171,114,225,161
12/1/2012,155,146,171,203,225
1/1/2013,157,155,146,214,203
2/1/2013,236,157,155,197,214
3/1/2013,88,236,157,280,197
4/1/2013,165,88,236,141,280
5/1/2013,175,165,88,203,141
6/1/2013,195,175,165,199,203
7/1/2013,162,195,175,201,199
8/1/2013,169,162,195,149,201
9/1/2013,148,169,162,202,149
10/1/2013,204,148,169,164,202
11/1/2013,203,204,148,237,164
12/1/2013,74,203,204,274,237
1/1/2014,113,74,203,84,274
2/1/2014,175,113,74,144,84
3/1/2014,192,175,113,222,144
4/1/2014,288,192,175,203,222
5/1/2014,217,288,192,304,203
6/1/2014,288,217,288,229,304
7/1/2014,209,288,217,267,229
8/1/2014,142,209,288,243,267
9/1/2014,248,142,209,203,243
10/1/2014,214,248,142,256,203
