Date,Label,TwoMonthBefore,ThreeMonthBefore
4/1/2004,249,44,161
5/1/2004,307,332,44
6/1/2004,74,249,332
7/1/2004,32,307,249
8/1/2004,132,74,307
9/1/2004,162,32,74
10/1/2004,346,132,32
11/1/2004,65,162,132
12/1/2004,129,346,162
1/1/2005,134,65,346
2/1/2005,239,129,65
3/1/2005,134,134,129
4/1/2005,363,239,134
5/1/2005,175,134,239
6/1/2005,245,363,134
7/1/2005,373,175,363
8/1/2005,196,245,175
9/1/2005,67,373,245
10/1/2005,84,196,373
11/1/2005,337,67,196
12/1/2005,159,84,67
1/1/2006,277,337,84
2/1/2006,315,159,337
3/1/2006,280,277,159
4/1/2006,182,315,277
5/1/2006,23,280,315
6/1/2006,77,182,280
7/1/2006,207,23,182
8/1/2006,184,77,23
9/1/2006,157,207,77
10/1/2006,2,184,207
11/1/2006,210,157,184
12/1/2006,171,2,157
1/1/2007,238,210,2
2/1/2007,88,171,210
3/1/2007,188,238,171
4/1/2007,78,88,238
5/1/2007,144,188,88
6/1/2007,71,78,188
7/1/2007,-33,144,78
8/1/2007,-16,71,144
9/1/2007,85,-33,71
10/1/2007,82,-16,-33
11/1/2007,118,85,-16
12/1/2007,97,82,85
1/1/2008,15,118,82
2/1/2008,-86,97,118
3/1/2008,-80,15,97
4/1/2008,-214,-86,15
5/1/2008,-182,-80,-86
6/1/2008,-172,-214,-80
7/1/2008,-210,-182,-214
8/1/2008,-259,-172,-182
9/1/2008,-452,-210,-172
10/1/2008,-474,-259,-210
11/1/2008,-765,-452,-259
12/1/2008,-697,-474,-452
1/1/2009,-798,-765,-474
2/1/2009,-701,-697,-765
3/1/2009,-826,-798,-697
4/1/2009,-684,-701,-798
5/1/2009,-354,-826,-701
6/1/2009,-467,-684,-826
7/1/2009,-327,-354,-684
8/1/2009,-216,-467,-354
9/1/2009,-227,-327,-467
10/1/2009,-198,-216,-327
11/1/2009,-6,-227,-216
12/1/2009,-283,-198,-227
1/1/2010,18,-6,-198
2/1/2010,-50,-283,-6
3/1/2010,156,18,-283
4/1/2010,251,-50,18
5/1/2010,516,156,-50
6/1/2010,-122,251,156
7/1/2010,-61,516,251
8/1/2010,-42,-122,516
9/1/2010,-57,-61,-122
10/1/2010,241,-42,-61
11/1/2010,137,-57,-42
12/1/2010,71,241,-57
1/1/2011,70,137,241
2/1/2011,168,71,137
3/1/2011,212,70,71
4/1/2011,322,168,70
5/1/2011,102,212,168
6/1/2011,217,322,212
7/1/2011,106,102,322
8/1/2011,122,217,102
9/1/2011,221,106,217
10/1/2011,183,122,106
11/1/2011,164,221,122
12/1/2011,196,183,221
1/1/2012,360,164,183
2/1/2012,226,196,164
3/1/2012,243,360,196
4/1/2012,96,226,360
5/1/2012,110,243,226
6/1/2012,88,96,243
7/1/2012,160,110,96
8/1/2012,150,88,110
9/1/2012,161,160,88
10/1/2012,225,150,160
11/1/2012,203,161,150
12/1/2012,214,225,161
1/1/2013,197,203,225
2/1/2013,280,214,203
3/1/2013,141,197,214
4/1/2013,203,280,197
5/1/2013,199,141,280
6/1/2013,201,203,141
7/1/2013,149,199,203
8/1/2013,202,201,199
9/1/2013,164,149,201
10/1/2013,237,202,149
11/1/2013,274,164,202
12/1/2013,84,237,164
1/1/2014,144,274,237
2/1/2014,222,84,274
3/1/2014,203,144,84
4/1/2014,304,222,144
5/1/2014,229,203,222
6/1/2014,267,304,203
7/1/2014,243,229,304
8/1/2014,203,267,229
9/1/2014,256,243,267
10/1/2014,214,203,243
11/1/2014,321,271,203
12/1/2014,252,261,271
1/1/2015,1000,252,261
