Date,Delta_Unrevised,Delta_Revised
12/1/1996,262,
1/1/1997,271,
2/1/1997,339,
3/1/1997,175,
4/1/1997,142,
5/1/1997,138,
6/1/1997,217,
7/1/1997,316,
8/1/1997,49,
9/1/1997,215,
10/1/1997,284,
11/1/1997,404,
12/1/1997,370,
1/1/1998,358,
2/1/1998,310,
3/1/1998,-36,
4/1/1998,262,
5/1/1998,296,
6/1/1998,205,
7/1/1998,66,
8/1/1998,365,
9/1/1998,69,
10/1/1998,116,
11/1/1998,267,
12/1/1998,378,
1/1/1999,245,
2/1/1999,275,
3/1/1999,46,
4/1/1999,234,
5/1/1999,11,
6/1/1999,268,
7/1/1999,310,
8/1/1999,124,
9/1/1999,-8,
10/1/1999,310,
11/1/1999,234,
12/1/1999,315,
1/1/2000,387,
2/1/2000,43,
3/1/2000,416,
4/1/2000,340,
5/1/2000,231,
6/1/2000,11,
7/1/2000,-108,
8/1/2000,-105,
9/1/2000,252,
10/1/2000,137,
11/1/2000,94,
12/1/2000,105,
1/1/2001,268,
2/1/2001,135,
3/1/2001,-86,
4/1/2001,-223,
5/1/2001,-19,
6/1/2001,-114,
7/1/2001,-42,
8/1/2001,-113,
9/1/2001,-199,
10/1/2001,-415,
11/1/2001,-331,
12/1/2001,-124,
1/1/2002,-89,
2/1/2002,66,
3/1/2002,58,
4/1/2002,43,
5/1/2002,41,
6/1/2002,36,
7/1/2002,6,
8/1/2002,39,
9/1/2002,-43,
10/1/2002,-5,
11/1/2002,-40,
12/1/2002,-101,
1/1/2003,143,
2/1/2003,-308,
3/1/2003,-108,
4/1/2003,-48,
5/1/2003,-17,
6/1/2003,-30,
7/1/2003,-44,
8/1/2003,-93,
9/1/2003,57,
10/1/2003,126,
11/1/2003,57,
12/1/2003,1,
1/1/2004,112,161
2/1/2004,21,44
3/1/2004,308,332
4/1/2004,288,249
5/1/2004,248,307
6/1/2004,112,74
7/1/2004,32,32
8/1/2004,144,132
9/1/2004,96,162
10/1/2004,337,346
11/1/2004,112,65
12/1/2004,157,129
1/1/2005,146,134
2/1/2005,262,239
3/1/2005,110,134
4/1/2005,274,363
5/1/2005,78,175
6/1/2005,146,245
7/1/2005,207,373
8/1/2005,169,196
9/1/2005,-35,67
10/1/2005,56,84
11/1/2005,215,337
12/1/2005,108,159
1/1/2006,193,277
2/1/2006,243,315
3/1/2006,211,280
4/1/2006,138,182
5/1/2006,75,23
6/1/2006,121,77
7/1/2006,113,207
8/1/2006,128,184
9/1/2006,51,157
10/1/2006,92,2
11/1/2006,132,210
12/1/2006,167,171
1/1/2007,111,238
2/1/2007,97,88
3/1/2007,180,188
4/1/2007,88,78
5/1/2007,157,144
6/1/2007,132,71
7/1/2007,92,-33
8/1/2007,-4,-16
9/1/2007,110,85
10/1/2007,166,82
11/1/2007,94,118
12/1/2007,18,97
1/1/2008,-17,15
2/1/2008,-63,-86
3/1/2008,-80,-80
4/1/2008,-20,-214
5/1/2008,-49,-182
6/1/2008,-62,-172
7/1/2008,-51,-210
8/1/2008,-84,-259
9/1/2008,-159,-452
10/1/2008,-240,-474
11/1/2008,-533,-765
12/1/2008,-524,-697
1/1/2009,-598,-798
2/1/2009,-651,-701
3/1/2009,-663,-826
4/1/2009,-539,-684
5/1/2009,-345,-354
6/1/2009,-467,-467
7/1/2009,-247,-327
8/1/2009,-216,-216
9/1/2009,-263,-227
10/1/2009,-190,-198
11/1/2009,-11,-6
12/1/2009,-85,-283
1/1/2010,-20,18
2/1/2010,-36,-50
3/1/2010,162,156
4/1/2010,290,251
5/1/2010,431,516
6/1/2010,-125,-122
7/1/2010,-131,-61
8/1/2010,-54,-42
9/1/2010,-95,-57
10/1/2010,151,241
11/1/2010,39,137
12/1/2010,103,71
1/1/2011,36,70
2/1/2011,192,168
3/1/2011,216,212
4/1/2011,244,322
5/1/2011,54,102
6/1/2011,18,217
7/1/2011,117,106
8/1/2011,0,122
9/1/2011,103,221
10/1/2011,80,183
11/1/2011,120,164
12/1/2011,200,196
1/1/2012,243,360
2/1/2012,227,226
3/1/2012,120,243
4/1/2012,115,96
5/1/2012,69,110
6/1/2012,80,88
7/1/2012,163,160
8/1/2012,96,150
9/1/2012,114,161
10/1/2012,171,225
11/1/2012,146,203
12/1/2012,155,214
1/1/2013,157,197
2/1/2013,236,280
3/1/2013,88,141
4/1/2013,165,203
5/1/2013,175,199
6/1/2013,195,201
7/1/2013,162,149
8/1/2013,169,202
9/1/2013,148,164
10/1/2013,204,237
11/1/2013,203,274
12/1/2013,74,84
1/1/2014,113,144
2/1/2014,175,222
3/1/2014,192,203
4/1/2014,288,304
5/1/2014,217,229
6/1/2014,288,267
7/1/2014,209,243
8/1/2014,142,180
9/1/2014,258,248
10/1/2014,214,214
